Nr.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Test per 1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
89,Sri Lanka,"95,131",+283,598,+3,"91,631",+175,"2,902",,"4,428",28,"2,374,627","110,536","21,482,812",Asia,226,"35,924",9
90,Montenegro,"94,035",,"1,365",,"88,144",,"4,526",69,"149,707","2,173","351,107","558,974","628,128",Europe,7,460,2
91,Ghana,"91,260",,754,,"89,092",,"1,414",10,"2,891",24,"1,025,654","32,486","31,572,093",Africa,346,"41,873",31
92,Kyrgyzstan,"90,227",+208,"1,522",+3,"85,925",+101,"2,780",25,"13,656",230,"900,866","136,346","6,607,187",Asia,73,"4,341",7
93,Zambia,"90,029",+111,"1,226",,"88,018","+1,205",785,59,"4,794",65,"1,305,345","69,511","18,778,931",Africa,209,"15,317",14
94,Cuba,"86,531",+959,459,+6,"80,805",+847,"5,267",54,"7,643",41,"3,213,345","283,833","11,321,250",North America,131,"24,665",4
95,Uzbekistan,"84,922",+198,634,,"82,760",+174,"1,528",23,"2,509",19,"1,377,915","40,714","33,843,508",Asia,399,"53,381",25
96,Finland,"82,053",+346,868,,"46,000",,"35,185",41,"14,791",156,"4,145,966","747,372","5,547,395",Europe,68,"6,391",1
97,Mozambique,"68,758",+180,791,+2,"58,904",+521,"9,063",68,"2,154",25,"496,181","15,541","31,927,207",Africa,464,"40,363",64
98,El Salvador,"66,489",+174,"2,051",+3,"62,958",+618,"1,480",60,"10,211",315,"871,383","133,821","6,511,554",North America,98,"3,175",7
99,Luxembourg,"63,650",,768,,"58,874",,"4,008",30,"100,421","1,212","2,490,226","3,928,849","633,831",Europe,10,825,0
100,Cameroon,"61,731",,919,,"56,926",,"3,886",385,"2,282",34,"1,187,367","43,890","27,053,489",Africa,438,"29,438",23
101,Singapore,"60,653",+20,30,,"60,322",,301,1,"10,305",5,"8,789,647","1,493,329","5,885,942",Asia,97,"196,198",1
102,Afghanistan,"57,242",+82,"2,529",+8,"51,989",+27,"2,724","1,120","1,445",64,"369,631","9,334","39,602,548",Asia,692,"15,659",107
103,Cyprus,"51,035",,272,,"39,061",,"11,702",52,"42,033",224,"3,888,225","3,202,397","1,214,161",Asia,24,"4,464",0
104,Namibia,"45,527",+204,570,+6,"43,640",+85,"1,317",34,"17,671",221,"361,681","140,385","2,576,359",Africa,57,"4,520",7
105,Ivory Coast,"45,206",+117,263,+3,"44,629",+432,314,,"1,682",10,"556,152","20,690","26,880,102",Africa,595,"102,206",48
106,Botswana,"42,674",,636,,"38,203",,"3,835",1,"17,869",266,"944,985","395,693","2,388,178",Africa,56,"3,755",3
107,Jamaica,"42,500",+381,672,+3,"18,896",+111,"22,932",49,"14,304",226,"304,179","102,376","2,971,180",North America,70,"4,421",10
108,Uganda,"41,140",+27,337,,"40,685",,118,24,878,7,"967,026","20,642","46,847,429",Africa,"1,139","139,013",48
109,Senegal,"39,431",+67,"1,078",+1,"38,174",+73,179,16,"2,308",63,"454,201","26,588","17,082,675",Africa,433,"15,847",38
110,Zimbabwe,"37,273",,"1,538",,"34,862",,873,12,"2,480",102,"393,000","26,148","15,029,879",Africa,403,"9,772",38
111,Malawi,"33,827",+22,"1,128",+1,"31,479",+119,"1,220",23,"1,734",58,"223,964","11,480","19,509,540",Africa,577,"17,296",87
112,Thailand,"32,625",+967,97,,"28,214",+53,"4,314",1,466,1,"8,124,896","116,177","69,935,763",Asia,"2,144","720,987",9
113,Sudan,"30,111",,"2,063",,"24,214",,"3,834",,675,46,"232,965","5,219","44,636,299",Africa,"1,482","21,637",192
114,Malta,"29,614",+66,402,,"28,654",+44,558,,"66,931",909,"832,727","1,882,060","442,455",Europe,15,"1,101",1
